id,title,release_year,budget,revenue,original_language,runtime,popularity,goodness_enc,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western
5,Four Rooms,1995,4000000,4300000,en,98.0,22.87623,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,Star Wars,1977,11000000,775398007,en,121.0,126.393695,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
12,Finding Nemo,2003,94000000,940335536,en,100.0,85.688789,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,Forrest Gump,1994,55000000,677945399,en,142.0,138.133331,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
14,American Beauty,1999,15000000,356296601,en,122.0,80.87860500000001,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
16,Dancer in the Dark,2000,12800000,40031879,en,140.0,22.022228,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
18,The Fifth Element,1997,90000000,263920180,en,126.0,109.528572,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
19,Metropolis,1927,92620000,650422,de,153.0,32.351527000000004,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,My Life Without Me,2003,0,9726954,en,106.0,7.958831,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
22,Pirates of the Caribbean: The Curse of the Black Pearl,2003,140000000,655011224,en,143.0,271.972889,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,Kill Bill: Vol. 1,2003,30000000,180949000,en,111.0,79.75496600000001,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Jarhead,2005,72000000,96889998,en,125.0,32.227222999999995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
28,Apocalypse Now,1979,31500000,89460381,en,153.0,49.973462,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Unforgiven,1992,14000000,159157447,en,131.0,37.380435,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
35,The Simpsons Movie,2007,75000000,527068851,en,87.0,46.875375,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,Eternal Sunshine of the Spotless Mind,2004,20000000,72258126,en,108.0,56.481487,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
55,Amores perros,2000,2000000,20908467,es,154.0,23.281616,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Pirates of the Caribbean: Dead Man's Chest,2006,200000000,1065659812,en,151.0,145.84737900000002,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
59,A History of Violence,2005,32000000,60740827,en,96.0,34.628738,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
62,2001: A Space Odyssey,1968,10500000,68700000,en,149.0,86.201184,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
65,8 Mile,2002,41000000,215000000,en,110.0,32.798571,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
66,Absolute Power,1997,50000000,50068310,en,121.0,13.576765,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
68,Brazil,1985,15000000,0,en,132.0,41.089863,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69,Walk the Line,2005,28000000,186438883,en,136.0,35.580032,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
70,Million Dollar Baby,2004,30000000,216763646,en,132.0,70.456012,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
71,Billy Elliot,2000,5000000,110000000,en,110.0,20.428237,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
73,American History X,1998,20000000,23875127,en,119.0,73.56723199999999,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
74,War of the Worlds,2005,132000000,591739379,en,116.0,48.572726,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
75,Mars Attacks!,1996,70000000,101371017,en,106.0,44.090534999999996,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
76,Before Sunrise,1995,2500000,5535405,en,105.0,23.672570999999998,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
77,Memento,2000,9000000,39723096,en,113.0,60.715151,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
78,Blade Runner,1982,28000000,33139618,en,117.0,94.05613100000001,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
79,Hero,2002,31000000,177394432,zh,99.0,23.607392,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
80,Before Sunset,2004,2700000,15992615,en,80.0,14.799323000000001,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
83,Open Water,2004,130000,54667954,en,79.0,15.611857,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
85,Raiders of the Lost Ark,1981,18000000,389925971,en,115.0,68.159596,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
87,Indiana Jones and the Temple of Doom,1984,28000000,333000000,en,118.0,66.976776,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
89,Indiana Jones and the Last Crusade,1989,48000000,474171806,en,127.0,80.972475,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Beverly Hills Cop,1984,15000000,316360478,en,105.0,29.843818,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
95,Armageddon,1998,140000000,553799566,en,151.0,58.485967,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
96,Beverly Hills Cop II,1987,20000000,299965036,en,100.0,25.28436,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
98,Gladiator,2000,103000000,457640427,en,155.0,95.301296,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100,"Lock, Stock and Two Smoking Barrels",1998,1350000,3897569,en,105.0,16.032594,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
103,Taxi Driver,1976,1300000,28262574,en,114.0,58.845025,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Run Lola Run,1998,1530000,7267585,de,81.0,27.36562,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
105,Back to the Future,1985,19000000,381109762,en,116.0,76.60323299999999,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
106,Predator,1987,18000000,98235548,en,107.0,50.009408,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
107,Snatch,2000,10000000,83557872,en,103.0,53.595686,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
111,Scarface,1983,25000000,65884703,en,170.0,70.105981,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
114,Pretty Woman,1990,14000000,463000000,en,119.0,45.473484,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
115,The Big Lebowski,1998,15000000,46189568,en,117.0,49.230089,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
116,Match Point,2005,15000000,85306374,en,124.0,30.669913,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
117,The Untouchables,1987,25000000,76270454,en,119.0,38.272889,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
118,Charlie and the Chocolate Factory,2005,150000000,474968763,en,115.0,53.905592000000006,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
120,The Lord of the Rings: The Fellowship of the Ring,2001,93000000,871368364,en,178.0,138.049577,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
121,The Lord of the Rings: The Two Towers,2002,79000000,926287400,en,179.0,106.914973,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
122,The Lord of the Rings: The Return of the King,2003,94000000,1118888979,en,201.0,123.63033200000001,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
128,Princess Mononoke,1997,26500000,159375308,ja,134.0,60.732738,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
129,Spirited Away,2001,15000000,274925095,ja,125.0,118.968562,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
134,"O Brother, Where Art Thou?",2000,26000000,71868327,en,106.0,39.742009,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
137,Groundhog Day,1993,14600000,70906973,en,101.0,52.744331,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
