id,title,reviews,goodness_enc
5,Four Rooms,[],0
11,Star Wars,"['(As I\'m writing this review, Darth Vader\'s theme music begins to build in my mind...)\r\n\r\nWell, it actually has a title, what the Darth Vader theme. And that title is ""The Imperial March"", composed by the great John Williams, whom, as many of you may already know, also composed the theme music for ""Jaws"" - that legendary score simply titled, ""Main Title (Theme From Jaws)"".\r\n\r\nNow, with that lil\' bit of trivia aside, let us procede with the fabled film currently under review: Star Wars. It had been at a drive-in theater in some small Illinois town or other where my mother, my older brother, and I had spent our weekly ""Movie Date Night"" watching this George Lucas directed cult masterpiece from our car in the parking lot. On the huge outdoor screen, the film appeared to be a silent one, but thanks to an old wire-attached speaker, we were able to hear both the character dialogue and soundtrack loud and clear. We even had ourselves a carful of vittles and snacks - walked back to our vehicle, of course, from the wide-opened cinema\'s briefly distant concession stand. Indeed, it had been a lovely summer evening that July.\r\n\r\nFrom the time the film started, with my brother and I following along as our mother sped-read the opening crawl, I began to feel rather antsy, thinking that this movie, the first in a franchise that would soon be world-renowned, was going to be boring, due to its genre being Science Fiction: A respectably likable, but not a passionately lovable genre of mine DURING THAT TIME. I just didn\'t believe I was going to like Star Wars all that much ... But I soon found myself intrigued ... And awed.\r\n\r\nGeorge Lucas is a man with a phenomenal, and I do mean phenomenal imagination. Apart from his human characters (Han, Luke, Leia, and Obi-Wan Kenobi, among others), the droids: C-3P0, R2-D2, R2-series, and IG-88, not to mention those unusual characters like Jabba the Hutt, Yoda, and Chewbacca, just to name a few, are all creations of Lucas\'s phenomenal imagination. And I was completely in awe of each one of these strange beings. Then there was Vader ... And the evil Emperor ... And the Stormtroopers ... And the Spacecraft ... And the galaxies (I\'ll admit that I am a huge lover of the Universe in all its Celestial glory) ... And the magnificent planets ... The Lightsabers ... And so on. Star Wars is a gorgeously shot space opera; it is truly an epic masterpiece. We enjoyed this film tremendously. And my brother was a die-hard fan from that night onward. He, my brother, had even received for Christmas that year, nearly every Star Wars action figure that my mother could find, including two of the spacecraft: The Millennium Falcon and Star Destroyer. The Death Star space station had too been wrapped beneath our Christmas tree - tagged with his name. It was totally crazy, what the new Star Wars era. Frenzied! But it was great ... Even still, to this day.\r\n\r\nI don\'t personally know anyone whom has yet to see Star Wars, but that certainly doesn\'t suggest there are still a few people out there who haven\'t. And if you\'re one of the latter, then you should know that this classic space opera comes highly recommended. The entire series is told backwards, so you\'ll definitely want to see Star Wars first, followed by its two sequels: The Empire Strikes Back and Return of the Jedi ... In that order. I trust that you\'ll too discover yourself to be a lifelong cult fan in the wake. 😊', 'A long time ago in a childhood not too far away...\r\n\r\nPrincess Leia is captured and held hostage by the Imperial Army as it seeks to rule the Galactic Empire. An old Jedi Knight by the name of Ben ""Obi-Wan"" Kenobi may just be hers, and the rebels only hope. Teaming up with farm boy Luke Skywalker, scoundrel Captain Han Solo, and a couple of quirky droids, Kenobi sets off on a mission that could well shape the destiny of the Galaxy, and all who dwell within it.\r\n\r\nBack in 1977 I was but a wee 11 year old boy, weened on films from all genres by my movie loving parents, I had no idea that Star Wars was to have the same impact on me as Jaws had two summers previously, where yet again I found myself queueing around the block for two whole hours to see a film in a one screen theatre. My love of cinema firmly cemented, Star Wars was the start of a love affair that lasts to this very day.\r\n\r\nAs the years have rolled by and my love of cinema has taken on more in-depth and serious tones, I have come to realise that Star Wars proves to be a far from flawless picture. Certainly its detractors do point to some frayed acting and call the plot structure a jazzed up good versus evil axis, while the charge of George Lucas referencing many prior pictures most assuredly stands, but really do those things matter? No they do not, because Star Wars opened up a new world of cinema, something of a portal to youngsters such as I, it got people talking and debating about the merits of model work in films (which is of an extraordinary high standard here), it nudged film makers to explore being bigger and bolder in their approach, and crucially, above all else, it got film goers hungry again, a hankering for more please if you may. Now it has to be said that all that followed 20th Century Fox\'s historic blockbuster didn\'t run with the baton, in fact most pale into comparison on impact value, but for better or worse (depending on the discerning viewers peccadilloes), Star Wars stands as a bastion of adventure laden entertainment.\r\n\r\nIt is by definition one of the most successful films in history, George Lucas perhaps didn\'t know it at the time, but in what was to become an almost operatic anthology, he didn\'t just make a movie, he created a whole new world seeping with style and rich texture. Almost as amazing as the success of the series, is how it has become part of modern day pop culture, anything from religion to everyday speak has at some time or another referenced Lucas\' baby. Ultimately, though, it\'s one single thing that made (and still does make) Star Wars so great, it\'s that it has the ability to lift the audience into a rousing united feel good cheer; and that is something that few films can ever lay claim too. In 1977 it was an awe inspiring event to watch in the theatre, now here in my middle age it\'s an event that is like hugging a dear old friend, a friend that I know will never ever let me down no matter how many times I turn to it. 10/10']",1
12,Finding Nemo,"[""One of the best animated films I have ever seen. Great characters, amusing animation, and laugh-out-loud humor. Also, watch for the little skit shown after the credits. It's all great stuff that simply must be seen.""]",1
13,Forrest Gump,[],1
14,American Beauty,[],1
16,Dancer in the Dark,[],0
18,The Fifth Element,"[""This movie is one of the best movies of all time! It has a great story lines and graphics of it's time and even to today's standards it is brilliant. The world is well though out and well demonstrated. Zorg is a great bad guy, played by Gary Oldman and Bruce Willis plays his role very well. All in all a excellent movie."", 'A simple enough concept: Guy must save a World (in the Future!) from Evil! by protecting a Magical Macguffin, only in this case it’s a Girl! instead of a Thing.\r\n\r\nThere’s really not a lot of story here. Not a lot of character either. Why waste valuable screen time with such paltry concerns when you can instead have Chris Tucker prancing around as a flamboyant radio host in the most annoying cinematic sci-fi supporting character not created by George Lucas? Instead, the film casts actors who do a fair job of acting simply by being themselves: Bruce Wills is Korben Dallas, a brawny, shoot-first hero who, when the chips are down, is brawny and shoot-firsty. The Magical Girlfriend MacGuffin, Leeloo, is played by Mila Jovovich (in her breakout performance) and some strategically-placed wrappings (the wrappings have had a harder time breaking into more mainstream roles). Ian Holm turns up as the Old Mentor, and filling out the cast is Gary Oldman as the antagonist Zord (in his hammiest role ever).\r\n\r\nThe film seriously rises to the level of made-for-SciFi Channel-original and no higher. The plot is nonsensical, the acting committed but laughable, and the dialogue so stiff you’d think the script pages had been starched.\r\n\r\nSo where does the film go legitimately wrong? Two main places: first, Besson carries on the proud tradition of French filmmakers doing weird things solely for the sake of being weird. The entire film is filled to the brim with the kind of idiosyncratic touches that I’ve come to expect from that region. Most of the bits don’t work, but I’ll give them credit for keeping things interesting.\r\n\r\nThe second, more serious issue is another that seems to plague genre French directors, and that’s the whole matter being played (largely) for farce. The most successful (creatively) American (sci-fi/)action films are defined in very large part by their villain. This film, like so many other sci-fi/action films I’ve seen from French directors, never establish or maintain an element of power for the villains over the heroes. The villains are painted as clueless, moronic, out of their depth, or outright incompetent. That tradition continues here. What would Star Wars be without Darth Vader? Die Hard without Hans Gruber? Aliens without…uh, aliens?\r\n\r\nLacking a strong (or even memorable) central villain (we have two: a Gary Oldman so hammy I’m pretty sure Muslims couldn’t work on the film, and the other being a giant planet-size ball of…Pure!Evil! No joke.), the film sacrifices the one shot it had at having some kind of weight or dimension. There’s no sense of danger or peril, no chance that the Hero won’t triumph, and [spoilers!] the day is essentially saved by a Care Bear stare.\r\n\r\nSo, does what I’ve just said make it bad? Well, yes. Let’s try again. Does that made it unenjoyable? No, and it’s an important distinction to make. The film is an interesting curiosity. After a half-hour of the bizarre, if you can let yourself be swept into its idiosyncratic world you’ll find a perfectly watchable B (or C)-movie. It rankles a bit to think about how much was wasted making dreck this dreck-y, but it’s entertaining dreck.', ""Ever since I first watched The Fifth Element in the late 90s, I've been inspired by Gary Oldman's Jean-Baptiste Emanuel Zorg.\r\n\r\n_Final rating:★★★½ - I strongly recommend you make the time._"", 'Negative, I am a meat Popsicle.  \r\n\r\nIt\'s 2259 and the Earth is in mortal danger from pure evil. The only hope Earth has is something called the fifth element, which comes in the form of the newly cloned Leeloo. Along with an ex forces cab driver and a priest called Cornellius, Leeloo must piece it together before the end of mankind arrives.\r\n\r\nDepending on which side of the fence you sit on, The Fifth Element is either a child fantasy made by an adult, or an adult fantasy made by a child! Here in lies the problem that many critics and movie watchers can\'t agree on. Just what does Luc Besson\'s film want to be? Having conceived the concept for his film at a very early age, Besson I think waited until he was comfortable with his adult eyes, and armed with the technological advancements in the late 90s, to realise his vision. With the result being a beautiful piece of science fiction that is, yes- cartoonish in every other frame.\r\n\r\nCrucial though is that Besson\'s futuristic vision of New York dominates proceedings, not even a villain overdrive from Gary Oldman can detract from the colourful vistas that Besson has crafted. The sea has dropped and New York is awash with flying cars, there are no take aways anymore, the Chinese junks fly to your front door to serve you food, how cool is that? Shape shifting aliens are amongst us, who in the context of this Jean-Paul Gautier clothed universe, blend in effortlessly, and opera divas are strangely beautiful and blue creatures. In short, the film is an art direction treat, a feast for the eyes, even as the comedy and action take control in the final third.\r\n\r\nBruce Willis quickly leaves behind his successful trip to harder edged roles (Twelve Monkeys) to play super cabbie Korben Dallas. Gun toting and with a quip at every turn, this is the Willis that the MTV generation loves and adores. Oldman, for better or worse as Zorg, gives a memorable performance (oh my, is that a Southern American accent?), but it\'s with Mila Jovovich (Leeloo) that the film gets its acting spurs. A pure revelation, it begs the question on why Jovovich has failed to progress in the acting world? (stop doing tripe like Resident ""will work for food"" Evil films would be a good start).\r\n\r\nSci-fi fans will obviously get the point that the support cast features Ian Holm (Alien) and Brion James (Blade Runner), which off sets the annoying and painful turn from Chris Tucker as zany, insecure DJ Ruby Rhod (is Besson having a pop at world DJs here I wonder?). To leave us with what? A film that mildly suffers from its director giving way to his heart over his head, but hey baby, it\'s one groovy and enjoyable romp from start to finish regardless. 8/10']",1
19,Metropolis,"['Metropolis is one of the greatest films ever made. It\'s amazing set design, brilliant cinematography, groundbreaking special effects and futuristic story truly makes it one of the must-sees in cinema! \r\n\r\nIt is set in the future, in a city called Metropolis where the citizens are divided into two groups: workers (who live under the ground and are working 10 hour shifts by enormous machines that keeps Metropolis working) and the royals (living in luxury in the great city on the surfice). And over them all, is the creator of Metropolis: Joh Fredersen (Alfred Abel). His son Freder (Gustav Fröhlich) falls in love with a woman of the working-class called Maria (Brigitte Helm) who preaches that a mediator will come and create peace and equality for both workers and royals. Joh Fredersen sees Maria as a big threat agains his ""order"", so he and the inventor Rotwang (Rudolf Klein-Rogge) kidnaps her and copies her appearence onto a robot, which will destroy the workers faith in Maria. However, Rotwang secretly plans to programme the robot to make the workers destroy the city and crush Joh Fredersen, as an act of vengeance against Fredersen for a sin he committed in the past...\r\n\r\nLang made this film in 1927, and it was a huge blockbuster event of that year. However, after the premiere, the US distributor heavily cut down the film, and thereafter the original version was considered lost for almost a decade. In 2008 they found the original version in Argentina (very damaged, but watchable), which became the basis for the most recent reconstruction (2010). If you are going to watch this movie (as I highly recommend that you do!) that\'s the version to watch!\r\n\r\nOverall, Metropolis is a REALLY REALLY great movie, that you, once again, MUST watch!\r\n\r\nI give it a 10/10']",0
20,My Life Without Me,[],0
22,Pirates of the Caribbean: The Curse of the Black Pearl,"[""Ah, but you have heard of me.\r\n\r\nThe crew of the Black Pearl are cursed by something most unimaginable, the only way to lift the curse is to return a lost Aztec coin to its treasure chest home. In the way of them achieving their goal is the British Governor's daughter, the son of Bootstrap Turner, oh and a former comrade by the name of Captain Jack Sparrow who the crew had left to die on an island some time ago.\r\n\r\nIt's now common knowledge that Pirates Of The Caribbean is a film based upon a theme park ride of the same name, thoughg that ride is not actually a roller-coaster, it's fair to say that this film most assuredly is. A swashbuckling ripper of an adventure yarn cramming in every pirate film staple it can and pouring on layers of charm at every turn. Into the broth goes romance, comedy and striking adventure, and director Gore Verbinski even manages to give the children watching little slices of horror, not enough to keep them up at night, but enough to bring on an uneasy grin.\r\n\r\nIt's unashamedly commercial, produced by that purveyor of OTT entertainment values, Jerry Bruckheimer, it was to be expected, but few blockbusting movies of the new age can lay claim to being such an out and out reason for having fun. This is the reason why Pirates had few peers at the time of its release, for it knows its reason for being, it's not taking itself seriously. The audience is not being hoodwinked in any way, they are having fun because so is the film and so is, crucially, the impressive cast. Johnny Depp as Sparrow is having the time of his life, basing the character around the dubious mannerisms of Rolling Stone icon, Keith Richards, it works to its highest potential and Depp is simply wonderful in the role. Keira Knightley (perfectly cast), Orlando Bloom, Geoffrey Rush, Jack Davenport, Jonathan Pryce and Mackenzie Crook all do what was asked, which is essentially say your lines right and have a blast with it, it really is that sort of picture.\r\n\r\nThe subsequent sequels would forget what made this first offering so enjoyable, foregoing the outrageous sense of fun for a dark sheen and character development. That is a shame, but at the very least we still have this wonderful picture to go back to time and time again, to lift you up when one is down or to keep one happy when one is already in that happy place. The Curse Of The Black Pearl is a joy from start to finish. 9/10""]",1
